storenumber,sitestatus,longitude,siteaddress,changeddate,createddate,timezone,latitude,sitetype,isdeleted,companycode,division,system$changedby,sitezipcode,companycodedesc,sitefax,highway,sitedescription,exit,siteemail,sitephonenum,sitecity,district
insert into shop (storeNumber,lng,address,changeddate,createddate,timezone,lat,sitetype,isdeleted,companycode,division)
values (
323,,-85.54893590,253 Tippy Ditch Rd,2021-04-30 15:24:15.574,,,40.55432660,,,,1930,281474976710657,46952,,,I-69,"323 - Marian, IN 46952",264,,765-662-6462,Marian,1931
347,,-92.77950200,2501 W Ashley Rd,2021-04-30 15:25:05.842,,,38.93438430,,,,1970,281474976710657,65233,,,I-70,"347 - Boonville, MO 65233",101,,660-882-7770,Boonville,1977
348,,-88.31870770,2966 US Highway 62,2021-04-30 15:25:39.374,,,37.00365200,,,,1930,281474976710657,42029,,,I-24,"348 - Calvert City, KY 42029",27,,270-395-0546,Calvert City,1938
200,,-101.76092280,6930 I-40 E,2021-04-30 15:16:42.708,,,35.19216450,,,,1950,281474976710657,79120,,,I-40,"200 - Amarillo, TX",74,,806-373-7775,Amarillo,1953
228,,-81.80110610,1800 Highway 559,2021-04-30 15:17:36.997,,,28.15541130,,,,1920,281474976710657,33868,,,Highway 559,"228 - Auburndale, FL 33868",44,,863-984-7030,Auburndale,1927
244,,-88.74241400,2050 Highway 70 E,2021-04-30 15:18:35.8,,,35.67941740,,,,1980,281474976710657,38305,,,70 E,"244 - Jackson, TN 38305",87 @ Hwy70,,731-422-0901,Jackson,1988
262,,-103.70114510,1900 Mountain Rd,2021-04-30 15:19:20.717,,,35.15917360,,,,1950,281474976710657,88401,,,I-40,"262 - Tucumcari, NM 88401",333,,575-461-1900,Tucumcari,1953
306,,-83.53272600,1058 Deep Springs Rd,2021-04-30 15:20:06.371,,,36.01288700,,,,1960,281474976710657,37725,,,I-40,"306 - Dandridge, TN 37725",412,,865-397-5040,Dandridge,1965
309,,-97.99788460,1539 Madison Ave,2021-04-30 15:20:59.823,,,40.81912490,,,,1970,281474976710657,68818,,,I-80,"309 - Aurora, NE 68818",332,,402-694-2802,Aurora,1976
310,,-107.98286170,314 Kelly Rd,2021-04-30 15:21:47.284,,,41.67586780,,,,1970,281474976710657,82336,,,I-80,"310 - Wamsutter, WY 82336",173,,307-324-0087,Wamsutter,1974
313,,-89.54279070,100 Love's Industrial Dr,2021-04-30 15:22:44.591,,,36.75810800,,,,1980,281474976710657,63867,,,I-55,"313 - Matthews, MO 63867",58,,573-471-4944,Matthews,1983
318,,-88.91085050,202 North Ave,2021-04-30 15:23:25.86,,,38.15535200,,,,1980,281474976710657,62846,,,I-57,"318 - Ina, IL 62846",83,,618-437-5275,Ina,1987
351,,-89.00965840,3020 E 8th Rd,2021-04-30 15:26:30.859,,,41.36999010,,,,1980,281474976710657,61373,,,I-80,"351 - Utica, IL 61373",81,,815-667-4572,Utica,1982
352,,-83.61276720,13023 US 35,2021-04-30 15:27:21.229,,,39.62082090,,,,1930,281474976710657,43128,,,I-71,"352 - Jeffersonville, OH 43128",65,,740-948-2342,Jeffersonville,1932
353,,-96.84465150,3220 39th St S,2021-04-30 15:27:52.955,,,46.83185750,,,,1970,281474976710657,58104,,,I-29,"352 - Fargo, ND 58104",62,,701-281-0761,Fargo,1978
374,,-117.09146560,2974 Lenwood Rd,2021-04-30 15:28:26.51,,,34.85716320,,,,1940,281474976710657,92311,,,I-15,"374 - Barstow, CA 92311",178,,760-253-4080,Barstow,1947
390,,-100.72303000,3211 S Newberry Access,2021-04-30 15:29:58.502,,,41.10286290,,,,1970,281474976710657,69101,,,I-80,"390 - North Platte, NE 69101",179,,308-534-4610,North Platte,1976
407,,-77.14430330,1165 Harrisburg Pike,2021-04-30 15:30:37.948,,,40.23026930,,,,1960,281474976710657,17013,,,I-81,"407 - Carlisle, PA 17013",52,,717-240-0055,Carlisle,1962
417,,-87.35681310,3150 Grant St,2021-04-30 15:31:19.176,,,41.56189620,,,,1980,281474976710657,46408,,,I-94,"417 - Gary, IN 46408",9,,219-981-4646,Gary,1986
458,,-93.11186300,400 N State Highway 125,2021-04-30 15:32:00.611,,,37.27636810,,,,1970,281474976710657,65757,,,I-44,"458 - Strafford, MO 65757",88,,417-736-9043,Strafford,1971
471,,-98.84644100,21548 FM 471 S,2021-04-30 15:32:52.282,,,29.18490450,,,,1910,281474976710657,78059,,,I-35,"471 - Natalia, TX 78059",127,,830-663-5540,Natalia,1915
507,,-80.51766730,"1105 Peeler Rd, Suite 100",2021-04-30 15:33:28.748,,,35.60897500,,,,1960,281474976710657,28146,,,I-85,"507 - Salisbury, NC 28146",71,,704-630-6767,Salisbury,1966
517,,-108.64604300,748 22 Road,2021-04-30 15:34:02.247,,,39.11445610,,,,1970,281474976710657,81505,,,I-70,"517 - Grand Junction, CO 81505",26,,970-241-3337,Grand Junction,1973
604,,-97.39207200,2700 E Highway 33,2021-04-30 15:36:10.325,,,35.88015710,,,,1950,281474976710657,73044,,,I-35,"604 - Guthrie, OK 73044",157,,405-260-1493,Guthrie,1954
688,,-88.15267530,203 N Houghton Hwy,2021-04-30 15:36:43.453,,,39.25312030,,,,1930,281474976710657,62428,,,I-70,"688 - Greenup, IL 62428",119@SR-130,,217-923-3220,Greenup,1938
693,,-83.29982470,1301 N Warpole St,2021-04-30 15:37:18.695,,,40.85550200,,,,1930,281474976710657,43351,,,Hwy 30/23,"693 - Upper Sandusky, OH 43351",Hwy 199,,419-209-0950,Upper Sandusky,1935
719,,-97.31231560,1610 Cotton Gin Rd,2021-04-30 15:37:55.627,,,31.19115550,,,,1910,281474976710657,76579,,,I-35,"719 - Troy, TX 76579",308,,254-938-2579,Troy,1913
737,,-97.90273210,3900 S Radio Rd,2021-04-30 15:38:28.552,,,35.49714850,,,,1950,281474976710657,73036,,,I-40,"737 - El Reno, OK 73036",127/Radio,,405-422-1904,El Reno,1955
738,,-95.62858340,120 S Hillcrest Dr,2021-04-30 15:40:38.876,,,33.13173470,,,,1910,281474976710657,75482,,,I-30,"738 - Sulphur Springs, TX 75482",122,,903-438-1801,Sulphur Springs,1917
759,,-91.56927100,3404 Highway 63 N,2021-04-30 15:41:23.863,,,34.81478220,,,,1980,281474976710657,72064,,,I-40,"759 - Hazen, AR 72064",193,,870-255-1395,Hazen,1984
784,,-97.08461720,979 Road E,2021-04-30 15:42:06.985,,,41.45174810,,,,1970,281474976710657,68661,,,Hwy 30,"784 - Schuyler, NE 68661",CR-9/Rd E,,402-352-7909,Schuyler,1976
250,,-102.01110280,14701 I-40 W.,2022-08-09 21:55:10.092,2021-11-08 15:48:35.027,,35.18946420,,,,1950,281474976710657,79124,,,I-40 W,"250 Amarillo,TX",60,,(806) 358-2551,Amarillo,1957,5910974510923877
888,,-109.53965400,8901 Hwy 374,2023-01-09 21:46:25.084,2023-01-09 21:43:42.016,,41.56003600,,,,2000,5910974510924077,82935,,,,"Green River, WY",,,(307) 364-9001,Green River,2005,5910974510924077
286,,-114.24122600,760 S. Quartzsite Blvd.,2023-01-09 21:49:36.966,2023-01-09 21:48:22.636,,33.65729900,,,,1940,5910974510924077,85346,,,,"Quartzsite, AZ",,,(928) 927-8570,Quartzsite,1946,5910974510924077
386,,-114.31635000,14875 S. Hwy 95,2023-01-09 21:50:50.376,2023-01-09 21:49:57.858,,34.72643800,,,,1940,5910974510924077,86404,,,,"Lake Havasu City, AZ",,,(928) 764-1505,Lake Havasu City,1946,5910974510924077
394,,-87.26102000,11207 W State Road 10,2023-01-20 19:54:07.172,2023-01-20 19:52:46.28,,41.14346900,,,,0,5910974510924177,46310,,,,"394 - Demotte, IN",,,,Demotte,0,5910974510924177
450,,-90.13829300,,2023-01-20 19:56:23.766,2023-01-20 19:55:12.262,,35.15392200,,,,0,5910974510924177,72301,,,,"West Memphis, AR",,,,West Memphis,0,5910974510924177
475,,-100.44175200,,2023-01-20 19:57:29.258,2023-01-20 19:56:51.518,,32.45042200,,,,0,5910974510924177,79556,,,,"Sweetwater, TX",,,,Sweetwater,0,5910974510924177
595,,-89.19021800,,2023-01-20 19:58:15.982,2023-01-20 19:57:36.995,,30.41911600,,,,0,5910974510924177,39503,,,,"Gulfport, MS",,,,Gulfport,0,5910974510924177
614,,-106.78603400,,2023-01-20 19:59:09.498,2023-01-20 19:58:36.93,,35.06350400,,,,0,5910974510924177,87121,,,,"Albuquerque, NM",,,,Albuquerque,0,5910974510924177
706,,-79.14229900,,2023-01-20 20:01:27.599,2023-01-20 19:59:20.001,,38.02210100,,,,0,5910974510924177,24401,,,,"Staunton, VA",,,,Staunton,0,5910974510924177
748,,-84.76751900,,2023-01-20 20:02:44.87,2023-01-20 20:02:08.897,,41.62663500,,,,0,5910974510924177,43518,,,,"Edon, OH",,,,Edon,0,5910974510924177
841,,-84.10696200,,2023-01-20 20:03:34.366,2023-01-20 20:02:56.291,,41.41632100,,,,0,5910974510924177,43545,,,,"Napoleon, OH",,,,Napoleon,0,5910974510924177
207,,-116.17126600,,2023-01-23 16:12:28.889,2023-01-23 16:07:56.851,,33.71741900,,,,0,5910974510924177,92236,,,,"Coachella, CA",,,,Coachella,0,5910974510924177
227,,-87.09893000,,2023-01-23 16:14:27.663,2023-01-23 16:13:22.863,,33.27877500,,,,0,5910974510924177,35111,,,,"McCalla, AL",,,,McCalla,0,5910974510924177
278,,-110.31124200,,2023-01-23 16:18:25.016,2023-01-23 16:17:13.393,,34.95475100,,,,0,5910974510924177,86032,,,,"Joseph City, AZ",,,,Joseph City,0,5910974510924177
360,,-85.93519800,,2023-01-23 16:19:19.538,2023-01-23 16:18:44.161,,37.20137300,,,,0,5910974510924177,42749,,,,"Horse Cave, KY",,,,Horse Cave,0,5910974510924177
773,,-87.92220800,,2023-01-23 16:49:08.33,2023-01-23 16:48:39.331,,32.86670000,,,,0,5910974510924177,35462,,,,"Eutaw, AL",,,,Eutaw,0,5910974510924177
801,,-83.75855200,,2023-01-23 16:50:00.607,2023-01-23 16:49:18.546,,31.97557900,,,,0,5910974510924177,31015,,,,"Cordele, GA",,,,Cordele,0,5910974510924177
803,,-88.94925100,,2023-01-23 16:51:30.615,2023-01-23 16:50:58.854,,37.74568200,,,,0,5910974510924177,62959,,,,"Marion, IL",,,,Marion,0,5910974510924177
275,,-90.90523500,,2023-01-23 16:53:49.078,2023-01-23 16:53:08.826,,34.98648900,,,,0,5910974510924177,72372,,,,"Palestine, AR",,,,Palestine,0,5910974510924177
321,,-84.11624200,,2023-01-23 16:54:44.21,2023-01-23 16:54:03.12,,36.97749100,,,,0,5910974510924177,40701,,,,"Corbin, KY",,,,Corbin,0,5910974510924177
356,,-83.65167000,,2023-01-23 16:55:39.592,2023-01-23 16:55:01.78,,41.17372000,,,,0,5910974510924177,45872,,,,"North Baltimore, OH",,,,North Baltimore,0,5910974510924177
369,,-87.48819000,,2023-01-23 16:56:24.218,2023-01-23 16:55:51.774,,35.99203000,,,,0,5910974510924177,37055,,,,"Dickson, TN",,,,Dickson,0,5910974510924177
387,,-82.96193000,,2023-01-23 16:57:53.086,2023-01-23 16:57:23.459,,34.50482000,,,,0,5910974510924177,29643,,,,"Fair Play, SC",,,,Fair Play,0,5910974510924177
401,,-95.03262300,,2023-01-23 17:01:35.199,2023-01-23 17:00:58.383,,29.79796300,,,,0,5910974510924177,77521,,,,"Baytown, TX",,,,Baytown,0,5910974510924177
456,,-83.46665300,,2023-01-23 17:04:44.458,2023-01-23 17:03:58.189,,41.53723300,,,,0,5910974510924177,43551,,,,"Perrysburg, OH",,,,Perrysburg,0,5910974510924177
473,,-94.20441700,,2023-01-23 17:07:08.098,2023-01-23 17:05:06.074,,33.46357500,,,,0,5910974510924177,75501,,,,"Leary, TX",,,,Leary,0,5910974510924177
585,,-94.42761200,,2023-01-23 17:07:57.288,2023-01-23 17:07:21.418,,36.87990800,,,,0,5910974510924177,64850,,,,"Neosho, MO",,,,Neosho,0,5910974510924177
812,,-114.94068800,,2023-01-23 17:10:56.103,2023-01-23 17:08:34.238,,42.92468700,,,,0,5910974510924177,83314,,,,"Bliss, ID",,,,Bliss,0,5910974510924177
203,,-97.68864900,,2023-01-23 17:12:08.21,2023-01-23 17:11:11.698,,35.45765900,,,,0,5910974510924177,73128,,,,"Oklahoma City, OK",,,,Oklahoma City,0,5910974510924177
213,,-97.34201100,,2023-01-23 17:14:48.305,2023-01-23 17:14:08.669,,36.65102100,,,,0,5910974510924177,74653,,,,"Tonkawa, OK",,,,Tonkawa,0,5910974510924177
221,,-81.90321000,,2023-01-23 17:15:47.164,2023-01-23 17:14:54.829,,39.96838400,,,,0,5910974510924177,43701,,,,"Zanesville, OH",,,,Zanesville,0,5910974510924177
235,,-94.78690100,,2023-01-23 17:16:52.863,2023-01-23 17:16:21.578,,39.72238000,,,,0,5910974510924177,64507,,,,"Saint Joseph, MO",,,,Saint Joseph,0,5910974510924177
324,,-76.31875700,,2023-01-23 17:17:59.067,2023-01-23 17:17:15.853,,41.02676800,,,,0,5910974510924177,18631,,,,"Mifflinville, PA",,,,Mifflinville,0,5910974510924177
336,,-84.93073000,,2023-01-23 17:19:09.437,2023-01-23 17:18:24.88,,42.28020600,,,,0,5910974510924177,49068,,,,"Marshall, MI",,,,Marshall,0,5910974510924177
715,,-81.14051800,,2023-01-23 17:20:42.908,2023-01-23 17:19:38.309,,37.17766500,,,,0,5910974510924177,24314,,,,"Bastian, VA",,,,Bastian,0,5910974510924177
747,,-84.18601300,,2023-01-23 17:22:15.122,2023-01-23 17:21:26.028,,40.26532800,,,,0,5910974510924177,45365,,,,"Sidney, WY",,,,Sidney,0,5910974510924177
768,,-88.18966500,,2023-01-23 17:23:01.582,2023-01-23 17:22:31.068,,41.43406400,,,,0,5910974510924177,60410,,,,"Channahon, IL",,,,Channahon,0,5910974510924177
8995,,-97.51642600,10601 N. Penn,2023-02-09 21:13:01.286,2023-02-09 21:11:19.53,,35.46756000,,,,0,5910974510924177,73120,,,,Lab 8995,,,,OKC,0,5910974510924177
8996,,-97.51642600,10601 N. Penn,2023-02-09 21:25:52.505,2023-02-09 21:25:21.948,,35.46756000,,,,0,5910974510924177,73120,,,,Lab 8996,,,,OKC,0,5910974510924177
815,,-95.06194700,12577 CR 3101,2023-02-23 20:56:28.851,2023-02-23 20:54:46.151,,32.44322800,,,,0,5910974510924177,75792,,,I-20 / 575/Barber Rd,"815 - Winona, TX",,,,Winona,0,5910974510924177
865,,-97.32542100,2805 W Fir St,2023-02-28 18:16:30.577,2023-02-28 18:13:48.101,,36.29048400,,,,1950,5910974510924077,73077,,,I-35,"Perry, OK",186,,(580) 572-6204,Perry,1954,5910974510924077

